sample_method,sample_size,sample_no,percent_male,protected_frequency,log_geom_diversity,4_entropy
uniform,40,97,40,0.675,-33.06967181299655,1.3145328001833665
uniform,40,98,40,0.475,-34.4435173450486,1.369360801453809
uniform,40,99,40,0.55,-33.49812506481431,1.3700815779706006
uniform,40,0,50,0.325,-31.74013330831509,1.3108205863739777
uniform,40,1,50,0.575,-31.354528291047135,1.3514395192866653
uniform,40,2,50,0.45,-33.56195708963723,1.35778649882815
uniform,40,3,50,0.625,-33.21102113224572,1.3493656043083968
uniform,40,4,50,0.575,-31.773987670287884,1.36057002061133
uniform,40,5,50,0.45,-32.459372849902856,1.369360801453809
uniform,40,6,50,0.375,-34.82451483520686,1.3412917710314491
uniform,40,7,50,0.375,-34.02181622811091,1.346659467717679
uniform,40,8,50,0.55,-32.32313924118782,1.3700815779706006
uniform,40,9,50,0.5,-30.861632377756365,1.3634440903572342
uniform,40,10,50,0.525,-33.512131446323004,1.3737224209213679
uniform,40,11,50,0.475,-32.99277219087955,1.3737224209213676
uniform,40,12,50,0.475,-32.538816062463,1.3785024724903538
uniform,40,13,50,0.625,-32.270095248368456,1.341291771031449
uniform,40,14,50,0.425,-30.555446513652022,1.355801138754224
uniform,40,15,50,0.65,-33.95542462007089,1.307386662403437
uniform,40,16,50,0.55,-32.675606259471415,1.3762266043445464
uniform,40,17,50,0.475,-34.70383188153709,1.3022242467571914
uniform,40,18,50,0.525,-35.60827978655082,1.3693608014538088
uniform,40,19,50,0.4,-31.708327166435815,1.3290458508967276
uniform,40,20,50,0.475,-32.263496331924955,1.3640730962474505
uniform,40,21,50,0.525,-33.38709946002083,1.3693608014538088
uniform,40,22,50,0.5,-30.932139562634525,1.3837901776967123
uniform,40,23,50,0.45,-30.833066876621626,1.3535252706084164
uniform,40,24,50,0.425,-33.664944665841524,1.367805709824793
uniform,40,25,50,0.6,-34.14739629106692,1.363025658255807
uniform,40,26,50,0.5,-30.92477895875469,1.3533763335818898
uniform,40,27,50,0.55,-31.172165993042462,1.367805709824793
uniform,40,28,50,0.45,-34.262135177221936,1.379010126127726
uniform,40,29,50,0.5,-32.068199902891806,1.383790177696712
uniform,40,30,50,0.4,-33.28777165278387,1.360939906934056
uniform,40,31,50,0.55,-31.836038681930425,1.3577864988281498
uniform,40,32,50,0.7,-35.99667924389891,1.299825308244313
uniform,40,33,50,0.45,-32.60625937467296,1.367805709824793
